,Release,Calendar Gross,Max Theaters,Total Gross,Release Date,Distributor,URL,Budget,Genres,MPAA,Rating,Votes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb1994 Re-release,"$275,902",1,"$275,902",Jul 13,"Sony Pictures Repertory

",https://www.boxofficemojo.com/release/rl2504951297/,1800000,Comedy,PG,8.4,442879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0057733,Bewitched,"$63,313,159","3,188","$63,313,159",Jun 24,"Sony Pictures Entertainment (SPE)

",https://www.boxofficemojo.com/release/rl3510928897/,85000000,Comedy Fantasy Romance,PG-13,7.5,16450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0058385,My Fair Lady2019 Re-release,"$560,711",652,"$560,711",Feb 17,"Fathom Events

",https://www.boxofficemojo.com/release/rl1191806465/,17000000,Drama Family Musical Romance,G,7.8,85072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0059742,The Sound of Music2018 Re-release,"$616,171",640,"$616,171",Sep 9,"Fathom Events

",https://www.boxofficemojo.com/release/rl2215020033/,8200000,Biography Drama Family Musical Romance,,8.0,199275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0062622,2001: A Space Odyssey2017 Re-release,"$3,236,321",13,"$3,236,321",May 18,"Warner Bros.

",https://www.boxofficemojo.com/release/rl2214888961/,12000000,Adventure Sci-Fi,,8.3,590854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0064276,Easy Rider2019 Re-release,"$123,276",252,"$123,276",Jul 14,"Fathom Events

",https://www.boxofficemojo.com/release/rl3859318273/,360000,Adventure Drama,,7.3,98200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068468,Inside Deep Throat,"$691,880",27,"$691,880",Feb 11,"Universal Pictures

",https://www.boxofficemojo.com/release/rl3596322305/,2000000,Biography Documentary History,NC-17,5.1,6308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0068646,The Godfather1997 Re-release,"$1,267,490",40,"$1,267,490",Mar 21,"Paramount Pictures

",https://www.boxofficemojo.com/release/rl1431602689/,6000000,Crime Drama,,9.2,1580220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0070047,The Exorcist2000 Director's Cut,"$39,671,011","1,708","$39,671,011",Sep 22,"Warner Bros.

",https://www.boxofficemojo.com/release/rl1364231681/,11000000,Horror,R,8.0,355406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0071562,The Godfather: Part II45th Anniversary,"$291,754",681,"$291,754",Nov 10,"Fathom Events

",https://www.boxofficemojo.com/release/rl3986915841/,13000000,Crime Drama,,9.0,1104034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
